,ASN,CustomerName,CustomerNumber,CustomerSpecific,CustomerType,Ip Address,Number of IpAddress,Order Number,Product Type,ProductClass,RD,RT EXPORT,RT IMPORT,Remark,Sequence Number,ShipToAddress,Status,Subnet Mask,Subnet Type,VRF Name,missingReason,normalizedAccountJoinKey,normalizedServiceJoinKey
,0,Al Yusr Industrial Contracting Co.,55511,,CORP,5.42.250.152,8,1000010112410,BDI,BDI(1:1),,,,,49,AYTB Jubail HO,Reserved,255.255.255.248,LAN1,,No Siebel row found. Tried Order Number->SERIAL_NUM=1000010112410 and CustomerNumber->ACCOUNT_NUMBER=55511.,55511,1000010112410
,0,Conrad Riyadh Laysen Valley,10007846,,CORP,87.101.221.16,16,1000010112412,BDI,BDI(1:4),,,,,58,Conrad Riyadh Laysen Valley,Reserved,255.255.255.240,PTP1,,No Siebel row found. Tried Order Number->SERIAL_NUM=1000010112412 and CustomerNumber->ACCOUNT_NUMBER=10007846.,10007846,1000010112412
,0,Higher Edcuation Fund HEF,8649,,CORP,87.101.146.184,4,1000010112427,BDI,BDI(1:1),,,,,4,"PM4F+8VH, King Fahd Branch Rd, Al OlayaØŒ Ø§Ù„Ø·Ø§Ø¨Ù‚ Ø§Ù„Ø³Ø§Ø¨Ø¹ ØŒ Ø§Ù„Ø«Ø§Ù…Ù† ØŒ Ø§Ù„ØªØ§Ø³Ø¹, Riyadh 11351",Reserved,255.255.255.252,PTP1,,No Siebel row found. Tried Order Number->SERIAL_NUM=1000010112427 and CustomerNumber->ACCOUNT_NUMBER=8649.,8649,1000010112427
,0,Higher Edcuation Fund HEF,8649,,CORP,87.101.230.68,4,1000010112427,BDI,BDI(1:4),,,,,4,"PM4F+8VH, King Fahd Branch Rd, Al OlayaØŒ Ø§Ù„Ø·Ø§Ø¨Ù‚ Ø§Ù„Ø³Ø§Ø¨Ø¹ ØŒ Ø§Ù„Ø«Ø§Ù…Ù† ØŒ Ø§Ù„ØªØ§Ø³Ø¹, Riyadh 11351",Reserved,255.255.255.252,LAN1,,No Siebel row found. Tried Order Number->SERIAL_NUM=1000010112427 and CustomerNumber->ACCOUNT_NUMBER=8649.,8649,1000010112427
,0,Conrad Riyadh Laysen Valley,10007846,,CORP,87.101.176.4,4,1000010112455,BDI,BDI(1:4),,,,,8,Conrad Riyadh Laysen Valley,Reserved,255.255.255.252,PTP1,,No Siebel row found. Tried Order Number->SERIAL_NUM=1000010112455 and CustomerNumber->ACCOUNT_NUMBER=10007846.,10007846,1000010112455
,0,Conrad Riyadh Laysen Valley,10007846,,CORP,5.149.134.152,8,1000010112455,BDI,BDI(1:4),,,,,43,Conrad Riyadh Laysen Valley,Reserved,255.255.255.248,LAN1,,No Siebel row found. Tried Order Number->SERIAL_NUM=1000010112455 and CustomerNumber->ACCOUNT_NUMBER=10007846.,10007846,1000010112455
,0,SWARM Technologies,10008025,,CORP,87.101.211.120,8,1000010112585,BDI,BDI(1:1),,,,,11,Riyadh - Al nafal,Reserved,255.255.255.248,LAN1,,No Siebel row found. Tried Order Number->SERIAL_NUM=1000010112585 and CustomerNumber->ACCOUNT_NUMBER=10008025.,10008025,1000010112585
,0,SWARM Technologies,10008025,,CORP,87.101.181.220,4,1000010112585,BDI,BDI(1:1),,,,,7,Riyadh - Al nafal,Reserved,255.255.255.252,PTP1,,No Siebel row found. Tried Order Number->SERIAL_NUM=1000010112585 and CustomerNumber->ACCOUNT_NUMBER=10008025.,10008025,1000010112585
,0,Al Jubail International for Water Company,10007506,,CORP,5.42.252.116,4,1000010112595,BDI,BDI(1:1),,,,,51,Jubail,Reserved,255.255.255.252,PTP1,,No Siebel row found. Tried Order Number->SERIAL_NUM=1000010112595 and CustomerNumber->ACCOUNT_NUMBER=10007506.,10007506,1000010112595
,0,Al Jubail International for Water Company,10007506,,CORP,37.76.253.176,4,1000010112595,BDI,BDI(1:1),,,,,54,Jubail,Reserved,255.255.255.252,LAN1,,No Siebel row found. Tried Order Number->SERIAL_NUM=1000010112595 and CustomerNumber->ACCOUNT_NUMBER=10007506.,10007506,1000010112595
,0,Saudi Contractors Authority,10007851,,CORP,87.101.242.80,8,1000010112664,BDI,BDI(1:1),,,,,25,Salam Internet Service,Reserved,255.255.255.248,PTP1,,No Siebel row found. Tried Order Number->SERIAL_NUM=1000010112664 and CustomerNumber->ACCOUNT_NUMBER=10007851.,10007851,1000010112664
,0,Tasheel,,,CORP,87.101.152.184,4,1000010112677,BDI,BDI(1:1),,,,,17,N/A,Reserved,255.255.255.252,PTP1,,No Siebel row found. Tried Order Number->SERIAL_NUM=1000010112677 and CustomerNumber->ACCOUNT_NUMBER=<blank>.,,1000010112677
,0,Tasheel,,,CORP,5.42.228.192,16,1000010112677,BDI,BDI(1:1),,,,,30,N/A,Reserved,255.255.255.240,LAN1,,No Siebel row found. Tried Order Number->SERIAL_NUM=1000010112677 and CustomerNumber->ACCOUNT_NUMBER=<blank>.,,1000010112677
,0,SAIPEM Taqa Al Rushaid Fabricators Co. Ltd. - (STAR),6130,,CORP,87.101.156.44,4,1000010112701,BDI,BDI(1:1),,,,,6,King Abdulaziz Port Dammam,Reserved,255.255.255.252,PTP1,,No Siebel row found. Tried Order Number->SERIAL_NUM=1000010112701 and CustomerNumber->ACCOUNT_NUMBER=6130.,6130,1000010112701
,0,SAIPEM Taqa Al Rushaid Fabricators Co. Ltd. - (STAR),6130,,CORP,87.101.242.72,8,1000010112701,BDI,BDI(1:1),,,,,25,King Abdulaziz Port Dammam,Reserved,255.255.255.248,LAN1,,No Siebel row found. Tried Order Number->SERIAL_NUM=1000010112701 and CustomerNumber->ACCOUNT_NUMBER=6130.,6130,1000010112701
,0,Technology Track Company,8144,,CORP,5.42.228.220,4,1000010112835,BDI,BDI(1:1),,,,,30,Al Takhassusi Branch ? Al Rahmaniyah,Reserved,255.255.255.252,PTP1,,No Siebel row found. Tried Order Number->SERIAL_NUM=1000010112835 and CustomerNumber->ACCOUNT_NUMBER=8144.,8144,1000010112835
,0,"Oracle Systems Limited, Saudi Arabia",57414,,CORP,81.24.151.212,4,1000010112837,BDI,BDI(1:1),,,,,94,"Center3 : Al Janadriyyah, Riyadh Saudi Arabia",Reserved,255.255.255.252,PTP1,,No Siebel row found. Tried Order Number->SERIAL_NUM=1000010112837 and CustomerNumber->ACCOUNT_NUMBER=57414.,57414,1000010112837
,0,Badeel,10008186,,CORP,5.42.250.160,4,1000010112859,BDI,BDI(1:1),,,,,49,Olaya Dist - Kingdom Tower,Reserved,255.255.255.252,PTP1,,No Siebel row found. Tried Order Number->SERIAL_NUM=1000010112859 and CustomerNumber->ACCOUNT_NUMBER=10008186.,10008186,1000010112859
,0,EFG Arabia Company,10008204,,CORP,37.76.241.96,16,1000010112875,BDI,BDI(1:1),,,,,64,EFG Venue Riyadh Roshan Front,Reserved,255.255.255.240,PTP1,,No Siebel row found. Tried Order Number->SERIAL_NUM=1000010112875 and CustomerNumber->ACCOUNT_NUMBER=10008204.,10008204,1000010112875
,0,Kings College Riyadh Company,10005611,,CORP,5.42.230.220,4,1000010112882,BDI,BDI(1:1),,,,,32,Ad Diryah,Reserved,255.255.255.252,PTP1,,No Siebel row found. Tried Order Number->SERIAL_NUM=1000010112882 and CustomerNumber->ACCOUNT_NUMBER=10005611.,10005611,1000010112882
,0,Kings College Riyadh Company,10005611,,CORP,5.42.230.232,4,1000010112882,BDI,BDI(1:1),,,,,32,Ad Diryah,Reserved,255.255.255.252,LAN1,,No Siebel row found. Tried Order Number->SERIAL_NUM=1000010112882 and CustomerNumber->ACCOUNT_NUMBER=10005611.,10005611,1000010112882
,0,Umm Al-Qura University,10007985,,CORP,128.127.207.0,256,1000010112886,BDI,BDI(1:1),,,,,122,Al Balad Al Ameen St,Reserved,255.255.255.0,LAN2,,No Siebel row found. Tried Order Number->SERIAL_NUM=1000010112886 and CustomerNumber->ACCOUNT_NUMBER=10007985.,10007985,1000010112886
,0,Umm Al-Qura University,10007985,,CORP,87.101.222.40,8,1000010112886,BDI,BDI(1:1),,,,,106,Al Balad Al Ameen St,Reserved,255.255.255.248,LAN1,,No Siebel row found. Tried Order Number->SERIAL_NUM=1000010112886 and CustomerNumber->ACCOUNT_NUMBER=10007985.,10007985,1000010112886
,0,Umm Al-Qura University,10007985,,CORP,5.42.244.52,4,1000010112886,BDI,BDI(1:1),,,,,43,Al Balad Al Ameen St,Reserved,255.255.255.252,PTP1,,No Siebel row found. Tried Order Number->SERIAL_NUM=1000010112886 and CustomerNumber->ACCOUNT_NUMBER=10007985.,10007985,1000010112886
,0,Ministry of Industry and Mineral Resources,,,CORP,5.42.232.32,4,1000010112917,BDI,BDI(1:1),,,,,33,C42P+WQ9 Dammam Ù‡Ù†Ù‚Ø±,Reserved,255.255.255.252,PTP1,,No Siebel row found. Tried Order Number->SERIAL_NUM=1000010112917 and CustomerNumber->ACCOUNT_NUMBER=<blank>.,,1000010112917
,0,Executive Committee to amend the prices of energy and water products,58024,,CORP,5.42.232.36,4,1000010112937,BDI,BDI(1:1),,,,,33,"EWPR HQ, Riyadh",Reserved,255.255.255.252,PTP1,,No Siebel row found. Tried Order Number->SERIAL_NUM=1000010112937 and CustomerNumber->ACCOUNT_NUMBER=58024.,58024,1000010112937
,0,Two Atoms Capital,10008324,,CORP,87.101.176.244,4,1000010112969,BDI,BDI(1:4),,,,,8,Prince Muhmmed Ibn Fahad Road,Reserved,255.255.255.252,PTP1,,No Siebel row found. Tried Order Number->SERIAL_NUM=1000010112969 and CustomerNumber->ACCOUNT_NUMBER=10008324.,10008324,1000010112969
,0,Qualified Technical Company for Communications and Information Technology,10008285,,CORP,46.38.78.0,4,1000010112984,BDI,BDI(1:4),,,,,41,"Mobily DC Al Fayha'a, Jeddah",Reserved,255.255.255.252,PTP1,,No Siebel row found. Tried Order Number->SERIAL_NUM=1000010112984 and CustomerNumber->ACCOUNT_NUMBER=10008285.,10008285,1000010112984
,0,Jones Lang Lasalle,22946,,CORP,87.101.203.24,8,1000010113068,BDI,BDI(1:1),,,,,102,KAFD King Abdullah Financial District,Reserved,255.255.255.248,PTP1,,No Siebel row found. Tried Order Number->SERIAL_NUM=1000010113068 and CustomerNumber->ACCOUNT_NUMBER=22946.,22946,1000010113068
,0,Saleh Mohammed Alkhwuyled Company for Trading,10008385,,CORP,5.42.224.32,4,1000010113154,BDI,BDI(1:4),,,,,36,Burrayedah,Reserved,255.255.255.252,PTP1,,No Siebel row found. Tried Order Number->SERIAL_NUM=1000010113154 and CustomerNumber->ACCOUNT_NUMBER=10008385.,10008385,1000010113154
,0,Alvarez and Marsal Arabia Limited,64000,,CORP,87.101.224.120,8,1000010113178,BDI,BDI(1:1),,,,,13,N/A,Reserved,255.255.255.248,LAN1,,No Siebel row found. Tried Order Number->SERIAL_NUM=1000010113178 and CustomerNumber->ACCOUNT_NUMBER=64000.,64000,1000010113178
